r_m,Bx_T,By_T,Bz_T,Brho_xy_T
2.936249999999999407e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.746018760349132393e-06,0.000000000000000000e+00
2.972499999999999882e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.747530667748991238e-06,0.000000000000000000e+00
3.008749999999999814e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.749061724549221280e-06,0.000000000000000000e+00
3.044999999999999747e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.750611953149117533e-06,0.000000000000000000e+00
3.081249999999999679e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.752181376242901714e-06,0.000000000000000000e+00
3.117499999999999612e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.753770016820598082e-06,0.000000000000000000e+00
3.153749999999999544e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.755377898168953314e-06,0.000000000000000000e+00
3.189999999999999477e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.757005043872288619e-06,0.000000000000000000e+00
3.226249999999999409e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.758651477813445028e-06,0.000000000000000000e+00
3.262499999999999884e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.760317224174696495e-06,0.000000000000000000e+00
3.298749999999999816e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.762002307438732456e-06,0.000000000000000000e+00
3.334999999999999748e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.763706752389538740e-06,0.000000000000000000e+00
3.371249999999999681e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.765430584113446203e-06,0.000000000000000000e+00
3.407499999999999613e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.767173828000035349e-06,0.000000000000000000e+00
3.443749999999999546e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.768936509743166333e-06,0.000000000000000000e+00
3.479999999999999478e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.770718655342007251e-06,0.000000000000000000e+00
3.516249999999999411e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.772520291101984512e-06,0.000000000000000000e+00
3.552499999999999343e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.774341443635894150e-06,0.000000000000000000e+00
3.588749999999999818e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.776182139864838638e-06,0.000000000000000000e+00
3.624999999999999750e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.778042407019429675e-06,0.000000000000000000e+00
3.661249999999999683e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.779922272640733478e-06,0.000000000000000000e+00
3.697499999999999615e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.781821764581390556e-06,0.000000000000000000e+00
3.733749999999999548e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.783740911006757511e-06,0.000000000000000000e+00
3.769999999999999480e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.785679740395952279e-06,0.000000000000000000e+00
3.806249999999999412e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.787638281543024728e-06,0.000000000000000000e+00
