z_m,Bx_T,By_T,Bz_T
-6.499999999999999702e-04,-2.450870961546626711e-11,-1.698855134690653067e-09,9.127219902032836108e-06
-6.449999999999999570e-04,-2.436694907500512420e-11,-1.688850961624811387e-09,9.135367132805442375e-06
-6.399999999999999439e-04,-2.422421573683471002e-11,-1.678782642465937945e-09,9.143463526257319965e-06
-6.349999999999999308e-04,-2.408051317718272180e-11,-1.668650428468946873e-09,9.151508826518814461e-06
-6.299999999999999177e-04,-2.393584504841821176e-11,-1.658454575667509119e-09,9.159502778806342173e-06
-6.250000000000000130e-04,-2.379021507904166098e-11,-1.648195344869503987e-09,9.167445129440108376e-06
-6.199999999999999999e-04,-2.364362707341635244e-11,-1.637873001653577033e-09,9.175335625862106754e-06
-6.149999999999999868e-04,-2.349608491192077909e-11,-1.627487816363763802e-09,9.183174016653727526e-06
-6.099999999999999737e-04,-2.334759255099124362e-11,-1.617040064103600719e-09,9.190960051553534972e-06
-6.050000000000000690e-04,-2.319815402284144428e-11,-1.606530024730722148e-09,9.198693481475053431e-06
-6.000000000000000559e-04,-2.304777343544882636e-11,-1.595957982849571486e-09,9.206374058524382197e-06
-5.950000000000000427e-04,-2.289645497254941229e-11,-1.585324227804180910e-09,9.214001536017879873e-06
-5.900000000000000296e-04,-2.274420289335139044e-11,-1.574629053670612187e-09,9.221575668499799601e-06
-5.850000000000000165e-04,-2.259102153280870501e-11,-1.563872759247858720e-09,9.229096211759885317e-06
-5.800000000000000034e-04,-2.243691530083378695e-11,-1.553055648049419473e-09,9.236562922850895176e-06
-5.749999999999999903e-04,-2.228188868330526668e-11,-1.542178028292898417e-09,9.243975560106146988e-06
-5.699999999999999772e-04,-2.212594624060117614e-11,-1.531240212890567227e-09,9.251333883156965404e-06
-5.649999999999999641e-04,-2.196909260829936393e-11,-1.520242519437456563e-09,9.258637652950107077e-06
-5.599999999999999509e-04,-2.181133249685282692e-11,-1.509185270200639956e-09,9.265886631765194297e-06
-5.549999999999999378e-04,-2.165267069150409706e-11,-1.498068792106789072e-09,9.273080583231963964e-06
-5.499999999999999247e-04,-2.149311205155401374e-11,-1.486893416729575346e-09,9.280219272347618219e-06
-5.449999999999999116e-04,-2.133266151101271488e-11,-1.475659480276170801e-09,9.287302465494000570e-06
-5.400000000000000069e-04,-2.117132407798566221e-11,-1.464367323573869234e-09,9.294329930454851653e-06
-5.349999999999999938e-04,-2.100910483434711161e-11,-1.453017292054546798e-09,9.301301436432817652e-06
-5.299999999999999807e-04,-2.084600893583523898e-11,-1.441609735740741590e-09,9.308216754066626431e-06
-5.249999999999999676e-04,-2.068204161120903634e-11,-1.430145009228837682e-09,9.315075655447935021e-06
-5.199999999999999544e-04,-2.051720816319977635e-11,-1.418623471673640073e-09,9.321877914138449852e-06
-5.150000000000000498e-04,-2.035151396688229368e-11,-1.407045486770616977e-09,9.328623305186623462e-06
-5.099999999999999282e-04,-2.018496447021761552e-11,-1.395411422738959990e-09,9.335311605144584995e-06
-5.050000000000000235e-04,-2.001756519399319771e-11,-1.383721652302963225e-09,9.341942592084769150e-06
-5.000000000000000104e-04,-1.984932173076744237e-11,-1.371976552673537890e-09,9.348516045616662025e-06
-4.949999999999999973e-04,-1.968023974511412969e-11,-1.360176505528794432e-09,9.355031746903280985e-06
-4.899999999999999842e-04,-1.951032497331842911e-11,-1.348321896993923847e-09,9.361489478677798536e-06
-4.849999999999999711e-04,-1.933958322279477094e-11,-1.336413117620719794e-09,9.367889025259895140e-06
-4.799999999999999580e-04,-1.916802037214185386e-11,-1.324450562366201349e-09,9.374230172572125587e-06
-4.749999999999999448e-04,-1.899564237047821212e-11,-1.312434630571256445e-09,9.380512708156183720e-06
-4.699999999999999317e-04,-1.882245523721039816e-11,-1.300365725937634050e-09,9.386736421189072297e-06
-4.650000000000000270e-04,-1.864846506187561150e-11,-1.288244256505222547e-09,9.392901102499206777e-06
-4.600000000000000139e-04,-1.847367800337903821e-11,-1.276070634628725933e-09,9.399006544582427634e-06
-4.550000000000000008e-04,-1.829810029009497374e-11,-1.263845276952945589e-09,9.405052541617889002e-06
-4.499999999999999877e-04,-1.812173821902826859e-11,-1.251568604388278162e-09,9.411038889483881246e-06
-4.449999999999999746e-04,-1.794459815602195063e-11,-1.239241042085237987e-09,9.416965385773560368e-06
-4.399999999999999615e-04,-1.776668653455491806e-11,-1.226863019408556610e-09,9.422831829810582541e-06
-4.349999999999999483e-04,-1.758800985605213219e-11,-1.214434969910354844e-09,9.428638022664555680e-06
-4.299999999999999352e-04,-1.740857468904689023e-11,-1.201957331303239548e-09,9.434383767166580807e-06
-4.249999999999999221e-04,-1.722838766907473940e-11,-1.189430545432415639e-09,9.440068867924473231e-06
-4.200000000000000174e-04,-1.704745549771312023e-11,-1.176855058247100393e-09,9.445693131337976953e-06
-4.150000000000000043e-04,-1.686578494290996404e-11,-1.164231319772161070e-09,9.451256365613968911e-06
-4.099999999999999912e-04,-1.668338283767571365e-11,-1.151559784078147611e-09,9.456758380781270194e-06
-4.049999999999999781e-04,-1.650025608026881856e-11,-1.138840909251131977e-09,9.462198988705692736e-06
-3.999999999999999650e-04,-1.631641163339336984e-11,-1.126075157362290651e-09,9.467578003104713317e-06
-3.949999999999999518e-04,-1.613185652370940912e-11,-1.113262994436720964e-09,9.472895239562169583e-06
-3.899999999999999387e-04,-1.594659784160338603e-11,-1.100404890421051178e-09,9.478150515542717205e-06
-3.849999999999999256e-04,-1.576064274027391681e-11,-1.087501319151976819e-09,9.483343650406302283e-06
-3.800000000000000209e-04,-1.557399843560770720e-11,-1.074552758322486473e-09,9.488474465422449099e-06
-3.750000000000000078e-04,-1.538667220528723141e-11,-1.061559689448740233e-09,9.493542783784337803e-06
-3.699999999999999947e-04,-1.519867138863853080e-11,-1.048522597835866405e-09,9.498548430622956641e-06
-3.649999999999999816e-04,-1.501000338577694320e-11,-1.035441972543688725e-09,9.503491233020905203e-06
-3.599999999999999685e-04,-1.482067565714967194e-11,-1.022318306350809142e-09,9.508371020026201061e-06
-3.549999999999999553e-04,-1.463069572304195909e-11,-1.009152095719685287e-09,9.513187622665933939e-06
-3.499999999999999422e-04,-1.444007116291802928e-11,-9.959438407599452213e-10,9.517940873959787748e-06
-3.449999999999999291e-04,-1.424880961484806034e-11,-9.826940451916461386e-10,9.522630608933340695e-06
-3.399999999999999160e-04,-1.405691877486505035e-11,-9.694032163080034700e-10,9.527256664631377257e-06
-3.350000000000000113e-04,-1.386440639660799265e-11,-9.560718649375816985e-10,9.531818880130912155e-06
-3.299999999999999982e-04,-1.367128029043689593e-11,-9.427005054056029854e-10,9.536317096554173679e-06
-3.249999999999999851e-04,-1.347754832284641660e-11,-9.292896554955021942e-10,9.540751157081400660e-06
-3.199999999999999720e-04,-1.328321841591133759e-11,-9.158398364091548054e-10,9.545120906963517468e-06
-3.149999999999999589e-04,-1.308829854677144162e-11,-9.023515727271158956e-10,9.549426193534607426e-06
-3.099999999999999457e-04,-1.289279674679368063e-11,-8.888253923680926304e-10,9.553666866224309979e-06
-3.049999999999999326e-04,-1.269672110079565998e-11,-8.752618265479294440e-10,9.557842776569999333e-06
-2.999999999999999195e-04,-1.250007974678993625e-11,-8.616614097384535294e-10,9.561953778228859762e-06
-2.950000000000000148e-04,-1.230288087507143024e-11,-8.480246796253033091e-10,9.565999726989788109e-06
-2.900000000000000017e-04,-1.210513272734402760e-11,-8.343521770655183682e-10,9.569980480785135363e-06
-2.849999999999999886e-04,-1.190684359650106583e-11,-8.206444460447350297e-10,9.573895899702295756e-06
-2.799999999999999755e-04,-1.170802182546262850e-11,-8.069020336338940983e-10,9.577745845995111221e-06
-2.749999999999999624e-04,-1.150867580683650457e-11,-7.931254899452510863e-10,9.581530184095182669e-06
-2.699999999999999492e-04,-1.130881398186973703e-11,-7.793153680880549450e-10,9.585248780622915296e-06
-2.649999999999999361e-04,-1.110844484011061618e-11,-7.654722241239795737e-10,9.588901504398509684e-06
-2.599999999999999230e-04,-1.090757691831287210e-11,-7.515966170217561683e-10,9.592488226452685238e-06
-2.549999999999999099e-04,-1.070621879991403391e-11,-7.376891086116258652e-10,9.596008820037324003e-06
-2.500000000000000052e-04,-1.050437911421900249e-11,-7.237502635391789269e-10,9.599463160635879003e-06
