r_m,Bx_T,By_T,Bz_T,Brho_xy_T_z_probe
1.928499999999999876e-03,6.246511034990075828e-09,8.816625175899437148e-12,1.361509788350174879e-05,6.246517257090728289e-09
1.932124999999999815e-03,6.283940770997995097e-09,8.857533591697384811e-12,1.363781609907545725e-05,6.283947013566569243e-09
1.935749999999999754e-03,6.321682082430540561e-09,8.898789020348080965e-12,1.366067064454690307e-05,6.321688345669167075e-09
1.939374999999999693e-03,6.359738611061665237e-09,8.940395445627055520e-12,1.368366265722779037e-05,6.359744895174591555e-09
1.942999999999999849e-03,6.398114052544880291e-09,8.982356910008618370e-12,1.370679328775186763e-05,6.398120357738507829e-09
1.946624999999999788e-03,6.436812157386970702e-09,9.024677515720698852e-12,1.373006370027239826e-05,6.436818483869882150e-09
1.950249999999999727e-03,6.475836731942566622e-09,9.067361425821671726e-12,1.375347507266338170e-05,6.475843079925563168e-09
1.953874999999999883e-03,6.515191639429991477e-09,9.110412865302807992e-12,1.377702859672434398e-05,6.515198009126125897e-09
1.957499999999999605e-03,6.554880800969009682e-09,9.153836122208523002e-12,1.380072547838881623e-05,6.554887192593621077e-09
1.961124999999999761e-03,6.594908196641093508e-09,9.197635548788761843e-12,1.382456693793682477e-05,6.594914610411841221e-09
1.964749999999999917e-03,6.635277866572434947e-09,9.241815562667936402e-12,1.384855421021103358e-05,6.635284302709337441e-09
1.968374999999999639e-03,6.675993912040748111e-09,9.286380648045809057e-12,1.387268854483704232e-05,6.676000370766217709e-09
1.971999999999999795e-03,6.717060496606116947e-09,9.331335356920724777e-12,1.389697120644769423e-05,6.717066978144997056e-09
1.975624999999999951e-03,6.758481847266591367e-09,9.376684310339899471e-12,1.392140347491150055e-05,6.758488351846194528e-09
1.979249999999999673e-03,6.800262255639189407e-09,9.422432199679662925e-12,1.394598664556541706e-05,6.800268783489337827e-09
1.982874999999999829e-03,6.842406079166968804e-09,9.468583787948848269e-12,1.397072202945190488e-05,6.842412630520029924e-09
1.986499999999999985e-03,6.884917742352717251e-09,9.515143911125609546e-12,1.399561095356041448e-05,6.884924317443648417e-09
1.990124999999999707e-03,6.927801738020132346e-09,9.562117479521820592e-12,1.402065476107338268e-05,6.927808337086517199e-09
1.993749999999999863e-03,6.971062628602984225e-09,9.609509479177273418e-12,1.404585481161707297e-05,6.971069251885077375e-09
1.997374999999999585e-03,7.014705047463172450e-09,9.657324973285446779e-12,1.407121248151677302e-05,7.014711695203940830e-09
2.000999999999999741e-03,7.058733700238296698e-09,9.705569103650987107e-12,1.409672916405730642e-05,7.058740372683462582e-09
2.004624999999999897e-03,7.103153366219578365e-09,9.754247092180237886e-12,1.412240626974810994e-05,7.103160063617661550e-09
2.008249999999999619e-03,7.147968899760863470e-09,9.803364242403276220e-12,1.414824522659354718e-05,7.147975622363229255e-09
2.011874999999999775e-03,7.193185231719658969e-09,9.852925941033846217e-12,1.417424748036857880e-05,7.193191979780561995e-09
2.015499999999999931e-03,7.238807370930788930e-09,9.902937659561109751e-12,1.420041449489925409e-05,7.238814144707419502e-09
2.019124999999999653e-03,7.284840405713822838e-09,9.953404955879048482e-12,1.422674775234921823e-05,7.284847205466354073e-09
2.022749999999999809e-03,7.331289505414989058e-09,1.000433347595385156e-11,1.425324875351133039e-05,7.331296331406625692e-09
2.026374999999999964e-03,7.378159921984492463e-09,1.005572895552640842e-11,1.427991901810512147e-05,7.378166774481520478e-09
2.029999999999999687e-03,7.425456991590271841e-09,1.010759722185803147e-11,1.430676008508007926e-05,7.425463870862105617e-09
2.033624999999999843e-03,7.473186136269106990e-09,1.015994419551254561e-11,1.433377351292484429e-05,7.473193042588345553e-09
2.037249999999999565e-03,7.521352865616075568e-09,1.021277589218135242e-11,1.436096087998243655e-05,7.521359799258547256e-09
2.040874999999999721e-03,7.569962778513456519e-09,1.026609842455152548e-11,1.438832378477182303e-05,7.569969739758278540e-09
2.044499999999999876e-03,7.619021564900002407e-09,1.031991800421614036e-11,1.441586384631568224e-05,7.619028554029633780e-09
2.048124999999999599e-03,7.668535007581914054e-09,1.037424094362726745e-11,1.444358270447488057e-05,7.668542024882206891e-09
2.051749999999999755e-03,7.718508984086393471e-09,1.042907365810140025e-11,1.447148202028944541e-05,7.718516029846654191e-09
2.055374999999999910e-03,7.768949468559101888e-09,1.048442266786291786e-11,1.449956347632646018e-05,7.768956543072140849e-09
2.058999999999999633e-03,7.819862533706728903e-09,1.054029460014361797e-11,1.452782877703498134e-05,7.819869637268928226e-09
2.062624999999999788e-03,7.871254352785767936e-09,1.059669619132792419e-11,1.455627964910799083e-05,7.871261485697136103e-09
2.066249999999999944e-03,7.923131201639061369e-09,1.065363428914869835e-11,1.458491784185171421e-05,7.923138364203291125e-09
2.069874999999999667e-03,7.975499460781012030e-09,1.071111585493919937e-11,1.461374512756259786e-05,7.975506653305548211e-09
